"Workflow";"Version";"Typ";"Kategorie";"Element";"Id";"start";"stop";"Akteur";"Körperteil";"Wert";"Notizen";"action";"structure";"Instrument";
"PhantomV07.xml";"cor";"state";"Camera Tracking Mode";"hands-on";"0";"00:00:00";"00:27:26";"";"";"hands-on";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"poor";"1";"00:00:00";"00:00:18";"";"";"poor";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"good";"2";"00:00:18";"00:00:26";"";"";"good";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"poor";"3";"00:00:26";"00:00:32";"";"";"poor";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"good";"4";"00:00:32";"00:01:26";"";"";"good";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"5";"00:01:26";"00:01:29";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"poor";"6";"00:01:29";"00:01:34";"";"";"poor";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"7";"00:01:34";"00:02:41";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"poor";"8";"00:02:41";"00:02:45";"";"";"poor";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"9";"00:02:45";"00:02:47";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"poor";"10";"00:02:47";"00:02:48";"";"";"poor";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"11";"00:02:48";"00:02:55";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"good";"12";"00:02:55";"00:03:11";"";"";"good";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"13";"00:03:11";"00:04:35";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"good";"14";"00:04:35";"00:04:38";"";"";"good";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"15";"00:04:38";"00:04:46";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"good";"16";"00:04:46";"00:04:50";"";"";"good";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"17";"00:04:50";"00:05:45";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"good";"18";"00:05:45";"00:05:54";"";"";"good";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"19";"00:05:54";"00:05:56";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"good";"20";"00:05:56";"00:06:04";"";"";"good";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"poor";"21";"00:06:04";"00:06:06";"";"";"poor";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"22";"00:06:06";"00:06:07";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"good";"23";"00:06:07";"00:06:24";"";"";"good";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"24";"00:06:24";"00:06:33";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"good";"25";"00:06:33";"00:06:47";"";"";"good";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"poor";"26";"00:06:47";"00:07:00";"";"";"poor";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"27";"00:07:00";"00:07:02";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"poor";"28";"00:07:02";"00:07:08";"";"";"poor";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"29";"00:07:08";"00:07:14";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"poor";"30";"00:07:14";"00:07:18";"";"";"poor";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"31";"00:07:18";"00:07:51";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"good";"32";"00:07:51";"00:08:36";"";"";"good";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"33";"00:08:36";"00:11:44";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"good";"34";"00:11:44";"00:11:50";"";"";"good";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"35";"00:11:50";"00:13:04";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"good";"36";"00:13:04";"00:13:16";"";"";"good";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"37";"00:13:16";"00:13:20";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"poor";"38";"00:13:20";"00:13:25";"";"";"poor";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"39";"00:13:25";"00:13:38";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"poor";"40";"00:13:38";"00:13:51";"";"";"poor";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"41";"00:13:51";"00:14:55";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"poor";"42";"00:14:55";"00:15:07";"";"";"poor";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"43";"00:15:07";"00:16:48";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"good";"44";"00:16:48";"00:16:53";"";"";"good";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"45";"00:16:53";"00:17:18";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"poor";"46";"00:17:18";"00:17:20";"";"";"poor";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"47";"00:17:20";"00:17:55";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"poor";"48";"00:17:55";"00:17:56";"";"";"poor";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"49";"00:17:56";"00:18:37";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"poor";"50";"00:18:37";"00:18:44";"";"";"poor";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"51";"00:18:44";"00:19:20";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"poor";"52";"00:19:20";"00:19:23";"";"";"poor";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"53";"00:19:23";"00:19:44";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"poor";"54";"00:19:44";"00:19:47";"";"";"poor";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"55";"00:19:47";"00:20:09";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"good";"56";"00:20:09";"00:20:53";"";"";"good";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"57";"00:20:53";"00:20:56";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"poor";"58";"00:20:56";"00:20:57";"";"";"poor";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"59";"00:20:57";"00:21:18";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"poor";"60";"00:21:18";"00:22:16";"";"";"poor";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"61";"00:22:16";"00:22:54";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"good";"62";"00:22:54";"00:23:01";"";"";"good";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"63";"00:23:01";"00:23:11";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"poor";"64";"00:23:11";"00:23:16";"";"";"poor";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"65";"00:23:16";"00:23:33";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"poor";"66";"00:23:33";"00:23:47";"";"";"poor";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"67";"00:23:47";"00:24:03";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"poor";"68";"00:24:03";"00:24:22";"";"";"poor";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"69";"00:24:22";"00:24:44";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"poor";"70";"00:24:44";"00:24:46";"";"";"poor";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"71";"00:24:46";"00:24:57";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"poor";"72";"00:24:57";"00:25:12";"";"";"poor";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"73";"00:25:12";"00:25:20";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"poor";"74";"00:25:20";"00:25:28";"";"";"poor";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"75";"00:25:28";"00:25:30";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"good";"76";"00:25:30";"00:25:31";"";"";"good";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"77";"00:25:31";"00:26:18";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"good";"78";"00:26:18";"00:26:29";"";"";"good";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"poor";"79";"00:26:29";"00:26:33";"";"";"poor";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"80";"00:26:33";"00:26:48";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"poor";"81";"00:26:48";"00:26:50";"";"";"poor";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"82";"00:26:50";"00:26:59";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"poor";"83";"00:26:59";"00:27:00";"";"";"poor";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"neutral";"84";"00:27:00";"00:27:06";"";"";"neutral";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"good";"85";"00:27:06";"00:27:26";"";"";"good";"";"";"";""
"PhantomV07.xml";"cor";"state";"Camera Quality";"poor";"86";"00:27:26";"00:27:26";"";"";"poor";"";"";"";""
"PhantomV07.xml";"cor";"state";"Part of surgery";"no";"87";"00:00:00";"00:00:18";"";"";"no";"";"";"";""
"PhantomV07.xml";"cor";"state";"Part of surgery";"yes";"88";"00:00:18";"00:01:29";"";"";"yes";"";"";"";""
"PhantomV07.xml";"cor";"state";"Part of surgery";"no";"89";"00:01:29";"00:01:34";"";"";"no";"";"";"";""
"PhantomV07.xml";"cor";"state";"Part of surgery";"yes";"90";"00:01:34";"00:02:41";"";"";"yes";"";"";"";""
"PhantomV07.xml";"cor";"state";"Part of surgery";"no";"91";"00:02:41";"00:02:45";"";"";"no";"";"";"";""
"PhantomV07.xml";"cor";"state";"Part of surgery";"yes";"92";"00:02:45";"00:13:20";"";"";"yes";"";"";"";""
"PhantomV07.xml";"cor";"state";"Part of surgery";"no";"93";"00:13:20";"00:13:25";"";"";"no";"";"";"";""
"PhantomV07.xml";"cor";"state";"Part of surgery";"yes";"94";"00:13:25";"00:13:38";"";"";"yes";"";"";"";""
"PhantomV07.xml";"cor";"state";"Part of surgery";"no";"95";"00:13:38";"00:13:51";"";"";"no";"";"";"";""
"PhantomV07.xml";"cor";"state";"Part of surgery";"yes";"96";"00:13:51";"00:14:54";"";"";"yes";"";"";"";""
