"Workflow";"Version";"Typ";"Kategorie";"Element";"Id";"start";"stop";"Akteur";"Körperteil";"Wert";"Notizen";"action";"structure";"Instrument";
"PantomV09.xml";"cor";"state";"Camera Tracking Mode";"hands-on";"0";"00:00:00";"00:26:54";"";"";"hands-on";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"poor";"1";"00:00:00";"00:00:13";"";"";"poor";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"good";"2";"00:00:13";"00:01:02";"";"";"good";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"poor";"3";"00:01:02";"00:01:05";"";"";"poor";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"neutral";"4";"00:01:05";"00:01:29";"";"";"neutral";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"neutral";"5";"00:01:29";"00:02:18";"";"";"neutral";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"good";"6";"00:02:18";"00:02:45";"";"";"good";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"neutral";"7";"00:02:45";"00:03:11";"";"";"neutral";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"poor";"8";"00:03:11";"00:03:12";"";"";"poor";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"neutral";"9";"00:03:12";"00:03:36";"";"";"neutral";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"good";"10";"00:03:36";"00:03:54";"";"";"good";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"neutral";"11";"00:03:54";"00:03:59";"";"";"neutral";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"good";"12";"00:03:59";"00:04:14";"";"";"good";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"neutral";"13";"00:04:14";"00:04:40";"";"";"neutral";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"good";"14";"00:04:40";"00:04:51";"";"";"good";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"neutral";"15";"00:04:51";"00:05:09";"";"";"neutral";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"good";"16";"00:05:09";"00:05:20";"";"";"good";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"neutral";"17";"00:05:20";"00:05:37";"";"";"neutral";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"good";"18";"00:05:37";"00:05:59";"";"";"good";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"neutral";"19";"00:05:59";"00:06:46";"";"";"neutral";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"good";"20";"00:06:46";"00:07:07";"";"";"good";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"neutral";"21";"00:07:07";"00:08:30";"";"";"neutral";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"poor";"22";"00:08:30";"00:08:36";"";"";"poor";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"neutral";"23";"00:08:36";"00:14:07";"";"";"neutral";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"good";"24";"00:14:07";"00:14:38";"";"";"good";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"neutral";"25";"00:14:38";"00:14:54";"";"";"neutral";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"poor";"26";"00:14:54";"00:15:03";"";"";"poor";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"neutral";"27";"00:15:03";"00:16:07";"";"";"neutral";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"poor";"28";"00:16:07";"00:16:27";"";"";"poor";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"neutral";"29";"00:16:27";"00:16:47";"";"";"neutral";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"poor";"30";"00:16:47";"00:16:48";"";"";"poor";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"neutral";"31";"00:16:48";"00:18:36";"";"";"neutral";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"poor";"32";"00:18:36";"00:18:38";"";"";"poor";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"neutral";"33";"00:18:38";"00:20:49";"";"";"neutral";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"good";"34";"00:20:49";"00:20:59";"";"";"good";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"neutral";"35";"00:20:59";"00:21:03";"";"";"neutral";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"good";"36";"00:21:03";"00:21:06";"";"";"good";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"neutral";"37";"00:21:06";"00:21:16";"";"";"neutral";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"good";"38";"00:21:16";"00:21:23";"";"";"good";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"neutral";"39";"00:21:23";"00:21:28";"";"";"neutral";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"good";"40";"00:21:28";"00:21:42";"";"";"good";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"neutral";"41";"00:21:42";"00:21:52";"";"";"neutral";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"good";"42";"00:21:52";"00:22:09";"";"";"good";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"neutral";"43";"00:22:09";"00:23:06";"";"";"neutral";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"poor";"44";"00:23:06";"00:23:12";"";"";"poor";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"neutral";"45";"00:23:12";"00:23:42";"";"";"neutral";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"poor";"46";"00:23:42";"00:23:44";"";"";"poor";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"neutral";"47";"00:23:44";"00:25:10";"";"";"neutral";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"poor";"48";"00:25:10";"00:25:12";"";"";"poor";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"neutral";"49";"00:25:12";"00:25:15";"";"";"neutral";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"poor";"50";"00:25:15";"00:25:17";"";"";"poor";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"neutral";"51";"00:25:17";"00:25:46";"";"";"neutral";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"poor";"52";"00:25:46";"00:25:51";"";"";"poor";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"neutral";"53";"00:25:51";"00:25:56";"";"";"neutral";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"poor";"54";"00:25:56";"00:26:02";"";"";"poor";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"neutral";"55";"00:26:02";"00:26:17";"";"";"neutral";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"good";"56";"00:26:17";"00:26:19";"";"";"good";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"neutral";"57";"00:26:19";"00:26:33";"";"";"neutral";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"good";"58";"00:26:33";"00:26:54";"";"";"good";"";"";"";""
"PantomV09.xml";"cor";"state";"Camera Quality";"poor";"59";"00:26:54";"00:26:54";"";"";"poor";"";"";"";""
"PantomV09.xml";"cor";"state";"Part of surgery";"no";"60";"00:00:00";"00:00:13";"";"";"no";"";"";"";""
"PantomV09.xml";"cor";"state";"Part of surgery";"yes";"61";"00:00:13";"00:01:02";"";"";"yes";"";"";"";""
"PantomV09.xml";"cor";"state";"Part of surgery";"no";"62";"00:01:02";"00:01:05";"";"";"no";"";"";"";""
"PantomV09.xml";"cor";"state";"Part of surgery";"yes";"63";"00:01:05";"00:01:29";"";"";"yes";"";"";"";""
"PantomV09.xml";"cor";"state";"Part of surgery";"yes";"64";"00:01:29";"00:26:54";"";"";"yes";"";"";"";""
"PantomV09.xml";"cor";"state";"Part of surgery";"no";"65";"00:26:54";"00:26:54";"";"";"no";"";"";"";""
"PantomV09.xml";"cor";"state";"Phase";"Diagnostic Laparoscopy";"66";"00:00:00";"00:01:02";"";"";"Diagnostic Laparoscopy";"";"";"";""
"PantomV09.xml";"cor";"state";"Phase";"Mobilization of colon";"67";"00:01:02";"00:05:20";"";"";"Mobilization of colon";"";"";"";""
"PantomV09.xml";"cor";"state";"Phase";"Vessel resection";"68";"00:05:20";"00:14:38";"";"";"Vessel resection";"";"";"";""
"PantomV09.xml";"cor";"state";"Phase";"Dissection of the rectum";"69";"00:14:38";"00:23:33";"";"";"Dissection of the rectum";"";"";"";""
"PantomV09.xml";"cor";"state";"Phase";"Resection of rectum";"70";"00:23:33";"00:26:54";"";"";"Resection of rectum";"";"";"";""
"PantomV09.xml";"cor";"state";"Step";"check for metastasis and adhesions";"71";"00:00:00";"00:01:02";"";"";"check for metastasis and adhesions";"";"";"";""
"PantomV09.xml";"cor";"state";"Step";"mobilization sigmoid";"72";"00:01:02";"00:02:55";"";"";"mobilization sigmoid";"";"";"";""
"PantomV09.xml";"cor";"state";"Step";"mobilization descending colon";"73";"00:02:55";"00:04:14";"";"";"mobilization descending colon";"";"";"";""
"PantomV09.xml";"cor";"state";"Step";"mobilization splenic flexure";"74";"00:04:14";"00:04:51";"";"";"mobilization splenic flexure";"";"";"";""
"PantomV09.xml";"cor";"state";"Step";"inspection colon";"75";"00:04:51";"00:05:20";"";"";"inspection colon";"";"";"";""
"PantomV09.xml";"cor";"state";"Step";"lancing retroperitoneum";"76";"00:05:20";"00:06:22";"";"";"lancing retroperitoneum";"";"";"";""
"PantomV09.xml";"cor";"state";"Step";"delineating of vessels";"77";"00:06:22";"00:07:18";"";"";"delineating of vessels";"";"";"";""
"PantomV09.xml";"cor";"state";"Step";"division of artery";"78";"00:07:18";"00:12:37";"";"";"division of artery";"";"";"";""
"PantomV09.xml";"cor";"state";"Step";"division of vein";"79";"00:12:37";"00:14:38";"";"";"division of vein";"";"";"";""
"PantomV09.xml";"cor";"state";"Step";"opening of lesser pelvic peritoneum";"80";"00:14:38";"00:20:04";"";"";"opening of lesser pelvic peritoneum";"";"";"";""
"PantomV09.xml";"cor";"state";"Step";"dissection rectum";"81";"00:20:04";"00:23:33";"";"";"dissection rectum";"";"";"";""
"PantomV09.xml";"cor";"state";"Step";"transect rectum";"82";"00:23:33";"00:24:53";"";"";"transect rectum";"";"";"";""
"PantomV09.xml";"cor";"state";"Step";"salvage rectum";"83";"00:24:53";"00:26:25";"";"";"salvage rectum";"";"";"";""
"PantomV09.xml";"cor";"state";"Step";"visual inspectation lesser pelvis";"84";"00:26:25";"00:26:54";"";"";"visual inspectation lesser pelvis";"";"";"";""
