"Workflow";"Version";"Typ";"Kategorie";"Element";"Id";"start";"stop";"Akteur";"Körperteil";"Wert";"Notizen";"action";"structure";"Instrument";
"Phantom11.xml";"cor";"state";"Camera Tracking Mode";"hands-on";"0";"00:00:00";"00:24:57";"";"";"hands-on";"";"";"";""
"Phantom11.xml";"cor";"state";"Camera Quality";"poor";"1";"00:00:00";"00:00:21";"";"";"poor";"";"";"";""
"Phantom11.xml";"cor";"state";"Camera Quality";"good";"2";"00:00:21";"00:00:48";"";"";"good";"";"";"";""
"Phantom11.xml";"cor";"state";"Camera Quality";"neutral";"3";"00:00:48";"00:00:50";"";"";"neutral";"";"";"";""
"Phantom11.xml";"cor";"state";"Camera Quality";"poor";"4";"00:00:50";"00:00:55";"";"";"poor";"";"";"";""
"Phantom11.xml";"cor";"state";"Camera Quality";"neutral";"5";"00:00:55";"00:01:57";"";"";"neutral";"";"";"";""
"Phantom11.xml";"cor";"state";"Camera Quality";"good";"6";"00:01:57";"00:05:52";"";"";"good";"";"";"";""
"Phantom11.xml";"cor";"state";"Camera Quality";"neutral";"7";"00:05:52";"00:05:56";"";"";"neutral";"";"";"";""
"Phantom11.xml";"cor";"state";"Camera Quality";"good";"8";"00:05:56";"00:06:06";"";"";"good";"";"";"";""
"Phantom11.xml";"cor";"state";"Camera Quality";"neutral";"9";"00:06:06";"00:06:28";"";"";"neutral";"";"";"";""
"Phantom11.xml";"cor";"state";"Camera Quality";"good";"10";"00:06:28";"00:06:50";"";"";"good";"";"";"";""
"Phantom11.xml";"cor";"state";"Camera Quality";"neutral";"11";"00:06:50";"00:07:39";"";"";"neutral";"";"";"";""
"Phantom11.xml";"cor";"state";"Camera Quality";"poor";"12";"00:07:39";"00:07:46";"";"";"poor";"";"";"";""
"Phantom11.xml";"cor";"state";"Camera Quality";"neutral";"13";"00:07:46";"00:08:36";"";"";"neutral";"";"";"";""
"Phantom11.xml";"cor";"state";"Camera Quality";"good";"14";"00:08:36";"00:10:15";"";"";"good";"";"";"";""
"Phantom11.xml";"cor";"state";"Camera Quality";"neutral";"15";"00:10:15";"00:10:20";"";"";"neutral";"";"";"";""
"Phantom11.xml";"cor";"state";"Camera Quality";"good";"16";"00:10:20";"00:11:20";"";"";"good";"";"";"";""
"Phantom11.xml";"cor";"state";"Camera Quality";"neutral";"17";"00:11:20";"00:12:13";"";"";"neutral";"";"";"";""
"Phantom11.xml";"cor";"state";"Camera Quality";"good";"18";"00:12:13";"00:13:39";"";"";"good";"";"";"";""
"Phantom11.xml";"cor";"state";"Camera Quality";"neutral";"19";"00:13:39";"00:13:45";"";"";"neutral";"";"";"";""
"Phantom11.xml";"cor";"state";"Camera Quality";"poor";"20";"00:13:45";"00:13:54";"";"";"poor";"";"";"";""
"Phantom11.xml";"cor";"state";"Camera Quality";"neutral";"21";"00:13:54";"00:14:57";"";"";"neutral";"";"";"";""
"Phantom11.xml";"cor";"state";"Camera Quality";"poor";"22";"00:14:57";"00:15:17";"";"";"poor";"";"";"";""
"Phantom11.xml";"cor";"state";"Camera Quality";"neutral";"23";"00:15:17";"00:16:19";"";"";"neutral";"";"";"";""
"Phantom11.xml";"cor";"state";"Camera Quality";"good";"24";"00:16:19";"00:16:25";"";"";"good";"";"";"";""
"Phantom11.xml";"cor";"state";"Camera Quality";"neutral";"25";"00:16:25";"00:19:27";"";"";"neutral";"";"";"";""
"Phantom11.xml";"cor";"state";"Camera Quality";"good";"26";"00:19:27";"00:20:14";"";"";"good";"";"";"";""
"Phantom11.xml";"cor";"state";"Camera Quality";"poor";"27";"00:20:14";"00:20:18";"";"";"poor";"";"";"";""
"Phantom11.xml";"cor";"state";"Camera Quality";"neutral";"28";"00:20:18";"00:21:12";"";"";"neutral";"";"";"";""
"Phantom11.xml";"cor";"state";"Camera Quality";"poor";"29";"00:21:12";"00:21:20";"";"";"poor";"";"";"";""
"Phantom11.xml";"cor";"state";"Camera Quality";"neutral";"30";"00:21:20";"00:24:19";"";"";"neutral";"";"";"";""
"Phantom11.xml";"cor";"state";"Camera Quality";"good";"31";"00:24:19";"00:24:24";"";"";"good";"";"";"";""
"Phantom11.xml";"cor";"state";"Camera Quality";"neutral";"32";"00:24:24";"00:24:33";"";"";"neutral";"";"";"";""
"Phantom11.xml";"cor";"state";"Camera Quality";"good";"33";"00:24:33";"00:24:34";"";"";"good";"";"";"";""
"Phantom11.xml";"cor";"state";"Camera Quality";"neutral";"34";"00:24:34";"00:24:57";"";"";"neutral";"";"";"";""
"Phantom11.xml";"cor";"state";"Camera Quality";"poor";"35";"00:24:57";"00:24:57";"";"";"poor";"";"";"";""
"Phantom11.xml";"cor";"state";"Part of surgery";"no";"36";"00:00:00";"00:00:21";"";"";"no";"";"";"";""
"Phantom11.xml";"cor";"state";"Part of surgery";"yes";"37";"00:00:21";"00:00:50";"";"";"yes";"";"";"";""
"Phantom11.xml";"cor";"state";"Part of surgery";"no";"38";"00:00:50";"00:00:55";"";"";"no";"";"";"";""
"Phantom11.xml";"cor";"state";"Part of surgery";"yes";"39";"00:00:55";"00:24:57";"";"";"yes";"";"";"";""
"Phantom11.xml";"cor";"state";"Part of surgery";"no";"40";"00:24:57";"00:24:57";"";"";"no";"";"";"";""
"Phantom11.xml";"cor";"state";"Phase";"Diagnostic Laparoscopy";"41";"00:00:00";"00:00:48";"";"";"Diagnostic Laparoscopy";"";"";"";""
"Phantom11.xml";"cor";"state";"Phase";"Mobilization of colon";"42";"00:00:48";"00:07:29";"";"";"Mobilization of colon";"";"";"";""
"Phantom11.xml";"cor";"state";"Phase";"Vessel resection";"43";"00:07:29";"00:13:36";"";"";"Vessel resection";"";"";"";""
"Phantom11.xml";"cor";"state";"Phase";"Dissection of the rectum";"44";"00:13:36";"00:21:26";"";"";"Dissection of the rectum";"";"";"";""
"Phantom11.xml";"cor";"state";"Phase";"Resection of rectum";"45";"00:21:26";"00:24:57";"";"";"Resection of rectum";"";"";"";""
"Phantom11.xml";"cor";"state";"Step";"check for metastasis and adhesions";"46";"00:00:00";"00:00:48";"";"";"check for metastasis and adhesions";"";"";"";""
"Phantom11.xml";"cor";"state";"Step";"mobilization sigmoid";"47";"00:00:48";"00:05:02";"";"";"mobilization sigmoid";"";"";"";""
"Phantom11.xml";"cor";"state";"Step";"mobilization descending colon";"48";"00:05:02";"00:06:06";"";"";"mobilization descending colon";"";"";"";""
"Phantom11.xml";"cor";"state";"Step";"mobilization splenic flexure";"49";"00:06:06";"00:06:42";"";"";"mobilization splenic flexure";"";"";"";""
"Phantom11.xml";"cor";"state";"Step";"inspection colon";"50";"00:06:42";"00:07:29";"";"";"inspection colon";"";"";"";""
"Phantom11.xml";"cor";"state";"Step";"lancing retroperitoneum";"51";"00:07:29";"00:08:24";"";"";"lancing retroperitoneum";"";"";"";""
"Phantom11.xml";"cor";"state";"Step";"delineating of vessels";"52";"00:08:24";"00:09:27";"";"";"delineating of vessels";"";"";"";""
"Phantom11.xml";"cor";"state";"Step";"division of artery";"53";"00:09:27";"00:11:14";"";"";"division of artery";"";"";"";""
"Phantom11.xml";"cor";"state";"Step";"division of vein";"54";"00:11:14";"00:13:36";"";"";"division of vein";"";"";"";""
"Phantom11.xml";"cor";"state";"Step";"opening of lesser pelvic peritoneum";"55";"00:13:36";"00:18:44";"";"";"opening of lesser pelvic peritoneum";"";"";"";""
"Phantom11.xml";"cor";"state";"Step";"dissection rectum";"56";"00:18:44";"00:21:26";"";"";"dissection rectum";"";"";"";""
"Phantom11.xml";"cor";"state";"Step";"transect rectum";"57";"00:21:26";"00:23:52";"";"";"transect rectum";"";"";"";""
"Phantom11.xml";"cor";"state";"Step";"salvage rectum";"58";"00:23:52";"00:24:35";"";"";"salvage rectum";"";"";"";""
"Phantom11.xml";"cor";"state";"Step";"visual inspectation lesser pelvis";"59";"00:24:35";"00:24:57";"";"";"visual inspectation lesser pelvis";"";"";"";""
