"Workflow";"Version";"Typ";"Kategorie";"Element";"Id";"start";"stop";"Akteur";"Körperteil";"Wert";"Notizen";"action";"structure";
"PantomV15.xml";"cor";"state";"Camera Tracking Mode";"hands-on";"0";"00:00:00";"00:22:43";"";"";"hands-on";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"poor";"1";"00:00:00";"00:00:25";"";"";"poor";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"2";"00:00:25";"00:00:35";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"good";"3";"00:00:35";"00:00:39";"";"";"good";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"poor";"4";"00:00:39";"00:00:41";"";"";"poor";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"poor";"5";"00:00:41";"00:00:42";"";"";"poor";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"6";"00:00:42";"00:00:46";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"good";"7";"00:00:46";"00:01:07";"";"";"good";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"8";"00:01:07";"00:01:11";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"poor";"9";"00:01:11";"00:01:14";"";"";"poor";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"10";"00:01:14";"00:01:27";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"good";"11";"00:01:27";"00:01:46";"";"";"good";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"12";"00:01:46";"00:02:05";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"good";"13";"00:02:05";"00:02:12";"";"";"good";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"good";"14";"00:02:12";"00:04:45";"";"";"good";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"15";"00:04:45";"00:05:28";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"poor";"16";"00:05:28";"00:05:36";"";"";"poor";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"17";"00:05:36";"00:05:55";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"poor";"18";"00:05:55";"00:06:48";"";"";"poor";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"19";"00:06:48";"00:06:57";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"good";"20";"00:06:57";"00:07:04";"";"";"good";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"21";"00:07:04";"00:07:42";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"good";"22";"00:07:42";"00:08:07";"";"";"good";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"23";"00:08:07";"00:08:09";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"good";"24";"00:08:09";"00:08:10";"";"";"good";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"poor";"25";"00:08:10";"00:08:11";"";"";"poor";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"26";"00:08:11";"00:08:33";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"good";"27";"00:08:33";"00:09:32";"";"";"good";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"28";"00:09:32";"00:10:02";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"good";"29";"00:10:02";"00:10:23";"";"";"good";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"30";"00:10:23";"00:10:37";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"good";"31";"00:10:37";"00:12:20";"";"";"good";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"32";"00:12:20";"00:13:42";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"good";"33";"00:13:42";"00:14:14";"";"";"good";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"poor";"34";"00:14:14";"00:14:21";"";"";"poor";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"35";"00:14:21";"00:14:32";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"poor";"36";"00:14:32";"00:14:39";"";"";"poor";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"37";"00:14:39";"00:15:29";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"poor";"38";"00:15:29";"00:15:30";"";"";"poor";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"39";"00:15:30";"00:15:48";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"poor";"40";"00:15:48";"00:15:50";"";"";"poor";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"41";"00:15:50";"00:15:57";"";"";"neutral";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"poor";"42";"00:15:57";"00:16:01";"";"";"poor";"";"";""
"PantomV15.xml";"cor";"state";"Camera Quality";"neutral";"43";"00:16:01";"00:16:19";"";"";"neutral";"";"";""
